Código Promo;Propietario;Provincia;Localidad;Calle;Número;Cp;Id_Inmueble;Referencia;Tipo;PrecioVentaPúblico;PrecioAlquiler;
"IDD27096";"SAREB";"Baleares";"Felanitx";"ESTRELLA";"8";"7200";"63687";"2001##00327859";"Piso";"118600";"0";
"IDD27096";"SAREB";"Baleares";"Felanitx";"ESTRELLA";"8";"7200";"63848";"2001##00329010";"Garaje";"11300";"0";
"IDD27096";"SAREB";"Baleares";"Felanitx";"ESTRELLA";"8";"7200";"63890";"2001##00327502";"Garaje";"10700";"0";
"IDD27096";"SAREB";"Baleares";"Felanitx";"ESTRELLA";"8";"7200";"65284";"2001##00330516";"Garaje";"12300";"0";
"IDD46281";"SAREB";"Baleares";"Inca";"PINTOR SOROLLA";"0041";"7300";"92755";"2001##00328258";"Piso";"138400";"0";
"IDD46281";"SAREB";"Baleares";"Inca";"PINTOR SOROLLA";"0041";"7300";"106543";"2001##00329184";"Piso";"135800";"0";
"IDD27099";"SAREB";"Barcelona";"Terrassa";"ARENYS DE MAR";"32";"8225";"64302";"2001##00330433";"Trastero";"1900";"0";
"IDD27099";"SAREB";"Barcelona";"Terrassa";"ARENYS DE MAR";"32";"8225";"64738";"2001##00334187";"Garaje";"8900";"0";
"IDD27099";"SAREB";"Barcelona";"Terrassa";"ARENYS DE MAR";"32";"8225";"65132";"2001##00330514";"Garaje";"8700";"0";
"IDD27099";"SAREB";"Barcelona";"Terrassa";"ARENYS DE MAR";"32";"8225";"65638";"2001##00327322";"Garaje";"8700";"0";
