CONTRATO,IDENTIFICADOR,FECHA       ,
A0100000000006Q,000008074647248,01/01/1901  ,
A0100000000006Q,000008074647250,01/01/1901  ,
A0100000000006Q,000008074647251,01/01/1901  ,
A0100000000006Q,000008074647255,01/01/1901  ,
A0100000000006Q,000008074647255,13/11/2006  ,
A0100000000006Q,000008074647255,29/05/2006  ,
A0100000000006Q,000008074647255,05/05/2006  ,
A0100000000006Q,000008074647255,15/01/2007  ,
A0100000000006Q,000008074647255,20/03/2007  ,
A0100000000006Q,000008074647255,13/06/2006  ,
A0100000000006Q,000008074647255,01/12/2006  ,
A0100000000006Q,000008074647256,01/01/1901  ,
A0100000000006Q,000008074647256,05/10/2004  ,
A0100000000006Q,000008074647262,01/01/1901  ,
A0100000000006Q,000008074647262,01/01/1901  ,
A0100000000006Q,000008074647262,06/10/2010  ,
A0100000000006Q,000008074647262,25/09/2007  ,
A0100000000006Q,000008074647206,01/01/1901  ,
A0100000000006Q,000008074647258,01/01/1901  ,
A0100000000006Q,000008074647258,01/01/1901  ,
A0100000000006Q,000008074647258,22/10/2010  ,
A0100000000006Q,000008074647257,01/01/1901  ,
A0100000000006Q,000008074647257,10/12/2009  ,
A0100000000006Q,000008074647257,03/11/1993  ,
A0100000000006Q,000008074647257,02/05/1994  ,
A0100000000006Q,000008074647263,01/01/1901  ,
A0100000000006Q,000008074647263,25/09/2007  ,
A0100000000006Q,000008074647264,01/01/1901  ,
A0100000000006Q,000008074647264,28/07/2006  ,
A0100000000006Q,000008074647264,01/01/1901  ,
A0100000000006Q,000008074647264,26/05/2006  ,
A0100000000006Q,000008074647264,13/06/2006  ,
A0100000000006Q,000008074647265,01/01/1901  ,
A0100000000006Q,000008074647265,06/05/2005  ,
A0100000000006Q,000008074647265,06/05/2005  ,
A0100000000006Q,000008074647265,20/04/2005  ,
A0100000000006Q,000008074647265,05/05/2005  ,
A0100000000006Q,000008074647265,25/04/2005  ,
A0100000000006Q,000008074647265,01/01/1901  ,
A0100000000006Q,000008074647263,01/01/1901  ,
A0100000000006Q,000008074647263,01/01/1901  ,
A0100000000006Q,000008074647263,01/01/1901  ,
A0100000000006Q,000008074647266,01/01/1901  ,
A0100000000006Q,000008074647267,22/12/2006  ,
A0100000000006Q,000008074647267,22/12/2006  ,
A0100000000006Q,000008074647266,15/11/2005  ,
A0100000000006Q,000008074647266,15/02/2006  ,
A0100000000006Q,000008074647266,11/01/2006  ,
A0100000000006Q,000008074647266,11/01/2006  ,
A0100000000006Q,000008074647266,11/01/2006  ,
A0100000000006Q,000008074647267,01/01/1901  ,
A0100000000006Q,000008074647268,01/01/1901  ,
A0100000000006Q,000008074647268,21/06/2006  ,
A0100000000006Q,000008074647268,26/04/2006  ,
A0100000000006Q,000008074647268,01/01/1901  ,
A0100000000006Q,000008074647268,06/07/2006  ,
A0100000000006Q,000008074647268,20/09/2006  ,
A0100000000006Q,000008074647268,20/09/2006  ,
A0100000000006Q,000008074647268,19/12/2005  ,
A0100000000006Q,000008074647268,17/01/2006  ,
